time,open,high,low,close,volume,volCcy
1624868460000,0.259858,0.259984,0.259261,0.259261,462280.233054,119906.854212
1624868520000,0.259318,0.259694,0.259264,0.259428,308496.950631,80034.970549
1624868580000,0.259451,0.259602,0.259313,0.259527,285710.843625,74136.809419
1624868640000,0.259517,0.259517,0.259115,0.259227,379322.943704,98337.634051
1624868700000,0.259283,0.259506,0.259,0.259001,545764.359503,141501.507547
1624868760000,0.259001,0.259016,0.257824,0.25829,2148966.527621,555845.223745
1624868820000,0.258289,0.258289,0.2577,0.257781,1419833.187701,366268.185555
1624868880000,0.257795,0.258333,0.257795,0.257989,973555.477397,251218.886271
1624868940000,0.257911,0.257911,0.257381,0.257784,521286.890038,134273.659006
1624869000000,0.257798,0.258094,0.257343,0.257613,536658.849994,138284.28623
1624869060000,0.257613,0.257664,0.257271,0.257582,303677.616323,78191.317464
1624869120000,0.257556,0.257731,0.257,0.257384,642047.240837,165197.456903
1624869180000,0.257364,0.2575,0.257364,0.257444,37971.537945,9775.304063
